,CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
3551,6001400100,California,Alameda County,1,2937,1314,0,2.0,0.07,0,0,0,0,0,0,3.6,220486.0,1,1,1,1,1,0,0,0,1711.0,2898.0,1711.0,172.0,291.0,172.0,2898.0,98.68,291.0,9.92,422.0,14.38,624.0,21.25,2129.0,72.48,141.0,4.79,453.0,15.41,9.0,0.31,4.0,0.14,163.0,5.56,115.0,3.93,28.0,2.13,0.0,0.0,1711.0,58.24,172.0,5.85,247.0,8.41,361.0,12.28,1246.0,42.44,100.0,3.41,266.0,9.06,2.0,0.08,3.0,0.12,92.0,3.13,72.0,2.45,17.0,1.28,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,427.0,634.0,2161.0,142.0,456.0,9.0,4.0,165.0,117.0,28.0,0.0
3552,6001400200,California,Alameda County,1,1974,856,0,70.0,3.55,0,0,0,0,0,0,6.5,233625.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,335.0,323.0,1659.0,33.0,147.0,0.0,4.0,131.0,151.0,59.0,0.0
3553,6001400300,California,Alameda County,1,4865,2418,0,40.0,0.82,0,0,0,0,1,0,5.3,166875.0,0,1,0,1,0,0,0,1,,892.0,,,115.0,,892.0,18.34,115.0,2.37,120.0,2.47,58.0,1.19,408.0,8.38,335.0,6.89,49.0,1.02,0.0,0.0,9.0,0.18,91.0,1.87,96.0,1.97,106.0,4.39,8.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.0,760.0,493.0,3468.0,518.0,423.0,5.0,17.0,434.0,399.0,423.0,38.0
3554,6001400400,California,Alameda County,1,3703,1779,0,33.0,0.89,0,0,0,0,0,0,11.3,141250.0,0,0,0,0,0,0,0,0,,80.0,,,16.0,,80.0,2.16,16.0,0.43,7.0,0.18,5.0,0.13,57.0,1.53,13.0,0.35,4.0,0.11,1.0,0.02,0.0,0.01,5.0,0.13,13.0,0.34,7.0,0.38,3.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.0,572.0,353.0,2628.0,456.0,278.0,6.0,14.0,321.0,332.0,157.0,115.0
3555,6001400500,California,Alameda County,1,3517,1578,0,126.0,3.58,0,0,0,0,0,0,11.9,134583.0,0,1,0,1,0,0,0,0,,889.0,,,196.0,,889.0,25.28,196.0,5.59,116.0,3.29,91.0,2.6,427.0,12.13,300.0,8.53,40.0,1.14,1.0,0.03,7.0,0.19,115.0,3.26,88.0,2.51,33.0,2.11,12.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.0,450.0,314.0,1905.0,955.0,209.0,5.0,27.0,416.0,340.0,188.0,51.0
3556,6001400600,California,Alameda County,1,1571,690,0,6.0,0.38,0,0,0,0,0,0,9.2,146964.0,0,1,0,1,0,0,0,0,,1571.0,,,270.0,,1571.0,100.0,270.0,17.16,224.0,14.26,144.0,9.17,720.0,45.83,628.0,39.97,80.0,5.09,1.0,0.06,4.0,0.25,138.0,8.78,126.0,8.02,77.0,11.14,49.0,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,224.0,144.0,720.0,628.0,80.0,1.0,4.0,138.0,126.0,76.0,47.0
3557,6001400700,California,Alameda County,1,4206,1755,0,167.0,3.97,0,0,0,0,1,0,12.9,95250.0,0,1,0,1,0,0,0,1,,4102.0,,,1462.0,,4102.0,97.52,1462.0,34.76,616.0,14.64,497.0,11.83,1358.0,32.29,2023.0,48.09,248.0,5.9,13.0,0.31,52.0,1.24,408.0,9.7,436.0,10.36,266.0,15.18,176.0,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.0,629.0,509.0,1391.0,2084.0,251.0,16.0,52.0,412.0,439.0,291.0,201.0
3558,6001400800,California,Alameda County,1,3594,1567,0,153.0,4.26,0,1,0,1,1,1,12.2,44185.0,0,1,0,1,0,0,0,1,,2027.0,,,779.0,,2027.0,56.39,779.0,21.68,350.0,9.73,308.0,8.56,600.0,16.69,1001.0,27.84,189.0,5.27,7.0,0.19,7.0,0.2,222.0,6.19,208.0,5.78,105.0,6.71,57.0,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474.0,572.0,442.0,1281.0,1490.0,438.0,7.0,21.0,357.0,367.0,218.0,111.0
3559,6001400900,California,Alameda County,1,2302,1019,0,2.0,0.09,0,1,0,1,1,1,11.5,85982.0,0,1,0,1,0,0,0,1,,1894.0,,,627.0,,1894.0,82.26,627.0,27.23,343.0,14.91,176.0,7.64,628.0,27.3,878.0,38.15,112.0,4.87,5.0,0.22,9.0,0.39,261.0,11.32,263.0,11.43,103.0,10.11,62.0,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.0,422.0,219.0,812.0,1038.0,129.0,5.0,10.0,308.0,307.0,116.0,78.0
3560,6001401000,California,Alameda County,1,5678,2354,0,23.0,0.41,0,1,0,1,1,1,20.1,76074.0,0,1,0,1,0,0,0,1,,4071.0,,,1176.0,,4071.0,71.7,1176.0,20.72,872.0,15.35,334.0,5.88,1083.0,19.08,2112.0,37.2,248.0,4.37,6.0,0.11,34.0,0.59,588.0,10.35,584.0,10.28,486.0,20.65,235.0,9.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780.0,1159.0,456.0,1487.0,2923.0,424.0,12.0,45.0,787.0,806.0,645.0,344.0
