Food,Quantity,Units,Price,Date,Location,FDC
Wheat Flour,80,oz,3.79,[2022-2-28],Safeway,2432946
Wheat Cereal,16.4,oz,3.49,[2022-2-28],Safeway,2343964
Corn Meal,80,oz,4.49,[2022-2-28],Safeway,2079814
Rolled Oats,42,oz,3.99,[2022-2-28],Safeway,2478125
Evaporated Milk,12,oz,1.99,[2022-2-28],Safeway,1889123
Cabbage,1,lbs,1.29,[2022-2-28],Safeway,169975
Potatoes,1,lbs,1.49,[2022-2-28],Safeway,576920
Spinach,1,oz,0.25,[2022-2-28],Safeway,168462
Sweet Potatoes,1,lbs,1.99,[2022-2-28],Safeway,2427040
Navy Beans,1,lbs,3.49,[2022-2-28],Safeway,1859097
Sugar,4,lbs,3.79,[2022-2-28],Safeway,169656
Beets,1,lbs,1.29,[2022-2-28],Safeway,169145
Milk (Whole),1,gallon,5.29,[2022-2-28],Safeway,2340762
Liver (Beef),1,lbs,5.99,[2022-2-28],Safeway,169451
Beef rump steak ,2.2,lbs,21.99,1 month if forzen,Pak'N Save,100309
white washed potatoes ,3,lbs,3.39,3 weeks,Pak'N Save,2346403
anchor Butter ,1.102,lbs,8,5 months ,Pak'N Save,790508
white buttom mushroom,2.205,lbs,9.99,1 month,Pak'N Save,1999629
bay spinach,0.264,lbs,4.39,2-3weeks,Pak'N Save,1999632
blueberries,0.276,lbs,3.99,2 weeks,Pak'N Save,2346411
bacon,0.551,lbs,5.39,8 months,Pak'N Save,749420
oat milk,33.814,oz,3.19,2-3weeks,Pak'N Save,2257046
brown onion ,2.205,lbs,2.99,1 months,Pak'N Save,790577
Red capsicum,0.2623,lbs,2.99,3 weeks,Pak'N Save,2258590
Yelow fresh Peaches,2.205,lbs,8.99,2 weeks,Pak'N Save,325430
yogart,60.85,oz,6.89,1 months,Pak'N Save,2259794
Ground Beef,2.205,lbs,17.69,2 weeks,Pak'N Save,2514744
Kiwifruit,2.205,lbs,12.99,2 weeks,Pak'N Save,327046
pears,2.205,lbs,8.99,2 weeks,Pak'N Save,746773
cabbage ,9,lbs,3.49,2 weeks,Pak'N Save,2346408
Freash snapper Fillet,2.205,lbs,49.99,3 weeks ,Pak'N Save,333374
unsalted cashews,0.339,lbs,3.39,2 months,Pak'N Save,2515374
